Country,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,0.4846721713216538,0.4651791081492337,0.4456860449768135,0.4371293258194594,0.4285726066621053,0.4461117673820696,0.4636509281020339,0.4387267380896047,0.4138025480771755
Bulgaria,0.3769629388490517,0.3931517858312493,0.4093406328134469,0.4374300036126947,0.4655193744119426,0.4087421966914167,0.351965018970891,0.3707462759675533,0.3895275329642155
Czechia,0.3101645777246892,0.3246704189870774,0.3391762602494655,0.4431418958686426,0.5471075314878198,0.5591535339864631,0.5711995364851062,0.490559029730013,0.4099185229749198
Denmark,0.6362892255255023,0.6230466575475346,0.6098040895695669,0.6091622403500563,0.6085203911305458,0.6149316929282945,0.6213429947260433,0.5881347981315688,0.5549266015370943
Germany,0.4567140359478668,0.4559784637534416,0.4552428915590164,0.4529375018485042,0.4506321121379921,0.4566225520058138,0.4626129918736356,0.4495279472209827,0.4364429025683299
Estonia,0.3664972158024774,0.3465845857240032,0.326671955645529,0.3711398914539147,0.4156078272623003,0.4148546805373998,0.4141015338124992,0.4252699986804853,0.4364384635484714
Ireland,0.328677154855308,0.3244583839734279,0.3202396130915479,0.3239694251306508,0.3276992371697538,0.3575356298365227,0.3873720225032917,0.3721811716786077,0.3569903208539238
Spain,0.4335805014755759,0.4504175499205947,0.4672545983656134,0.4769462823036381,0.4866379662416628,0.4811704584035195,0.4757029505653762,0.4874082735731114,0.4991135965808466
France,0.4288351808588039,0.4324296369687609,0.4360240930787179,0.4402009691914839,0.4443778453042499,0.4707565820485314,0.4971353187928129,0.5039807951013935,0.5108262714099742
Italy,0.4913625059339143,0.4959700483125634,0.5005775906912127,0.501868738202672,0.5031598857141313,0.4942389875140333,0.4853180893139353,0.4887729827705748,0.4922278762272143
Cyprus,0.3774580419580419,0.4214899281377666,0.4655218143174914,0.4564660062289071,0.4474101981403228,0.436756827382502,0.4261034566246812,0.4240017064820202,0.4218999563393592
Latvia,0.3542989445746822,0.3981235717725,0.4419481989703178,0.3702692996501731,0.2985904003300283,0.3181892727926892,0.3377881452553501,0.3557237099421033,0.3736592746288565
Lithuania,0.394103930238254,0.3903261460843453,0.3865483619304365,0.4438070519580709,0.5010657419857052,0.4991146209502366,0.497163499914768,0.5006262988130853,0.5040890977114025
Luxembourg,0.4418006840343472,0.379307558342061,0.3168144326497746,0.3166849714930337,0.3165555103362928,0.3197914237365084,0.323027337136724,0.364897787180627,0.40676823722453
Hungary,0.2996180693278127,0.2974058509923402,0.2951936326568675,0.2887720999883949,0.2823505673199223,0.3858635380945088,0.4893765088690954,0.4996893194263071,0.5100021299835189
Malta,0.3611534113734246,0.365287637887275,0.3694218644011253,0.3810635753180956,0.3927052862350659,0.3881920930597497,0.3836788998844335,0.3811395687486161,0.3786002376127988
Austria,0.4901419711309147,0.4903610394027726,0.4905801076746305,0.4950770983690665,0.4995740890635026,0.5098852193117551,0.5201963495600077,0.508271926905675,0.4963475042513422
Poland,0.2167511234720864,0.233937648746442,0.2511241740207978,0.2515305133768167,0.2519368527328358,0.3002352199588749,0.348533587184914,0.3628661721571487,0.3771987571293834
Portugal,0.4510171875161574,0.4616679463544002,0.4723187051926431,0.4883489814290064,0.5043792576653698,0.5065655827120312,0.5087519077586926,0.50978038893175,0.5108088701048074
Romania,0.1916575622649088,0.1995308476451613,0.2074041330254139,0.2106519747241517,0.2138998164228895,0.2170674693395374,0.2202351222561853,0.2282230785101739,0.2362110347641625
Slovenia,0.2728538609518773,0.2919413506740989,0.3110288403963205,0.3111456131072793,0.3112623858182381,0.3059422106722245,0.300622035526211,0.3040434943431793,0.3074649531601476
Slovakia,0.3199777176631463,0.3340982625231083,0.3482188073830703,0.3811679473209242,0.414117087258778,0.4234029877012829,0.4326888881437878,0.4553135927590737,0.4779382973743595
Finland,0.2940523951299422,0.3102810212417175,0.3265096473534928,0.3480646322609808,0.3696196171684687,0.408820865375441,0.4480221135824134,0.3750051286060395,0.3019881436296657
Sweden,0.4326213412651541,0.440189687387903,0.4477580335106517,0.4464592179007135,0.4451604022907752,0.4475012354739226,0.4498420686570699,0.4303289502316555,0.410815831806241
Norway,0.4750478174304077,0.4720696654348594,0.469091513439311,0.4628574989352492,0.4566234844311874,0.4690935284209227,0.481563572410658,0.4468837866587627,0.4122040009068673
Türkiye,0.3278283975669389,0.3423341393956428,0.3568398812243468,0.3522785685569863,0.3477172558896257,0.3451630175054306,0.3426087791212355,0.3296060166703933,0.3166032542195512
