Country,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,0.48467217132165386,0.4651791081492337,0.4456860449768135,0.4371293258194594,0.4285726066621053,0.4461117673820696,0.46365092810203395,0.4387267380896047,0.41380254807717554
Bulgaria,0.37696293884905174,0.3931517858312493,0.4093406328134469,0.43743000361269474,0.4655193744119426,0.40874219669141676,0.351965018970891,0.3707462759675533,0.38952753296421555
Czechia,0.31016457772468925,0.3246704189870774,0.3391762602494655,0.4431418958686426,0.5471075314878198,0.5591535339864631,0.5711995364851062,0.49055902973001303,0.4099185229749198
Denmark,0.6362892255255023,0.6230466575475346,0.6098040895695669,0.6091622403500563,0.6085203911305458,0.6149316929282945,0.6213429947260433,0.5881347981315688,0.5549266015370943
Germany,0.4567140359478668,0.45597846375344164,0.4552428915590164,0.45293750184850423,0.4506321121379921,0.4566225520058138,0.4626129918736356,0.44952794722098277,0.43644290256832996
Estonia,0.3664972158024774,0.3465845857240032,0.326671955645529,0.3711398914539147,0.41560782726230033,0.4148546805373998,0.41410153381249926,0.4252699986804853,0.4364384635484714
Ireland,0.328677154855308,0.32445838397342797,0.32023961309154797,0.32396942513065086,0.3276992371697538,0.35753562983652276,0.3873720225032917,0.37218117167860776,0.35699032085392385
Spain,0.4335805014755759,0.4504175499205947,0.46725459836561345,0.4769462823036381,0.48663796624166283,0.4811704584035195,0.4757029505653762,0.48740827357311145,0.49911359658084664
France,0.4288351808588039,0.4324296369687609,0.4360240930787179,0.4402009691914839,0.4443778453042499,0.47075658204853144,0.4971353187928129,0.5039807951013935,0.5108262714099742
Italy,0.4913625059339143,0.49597004831256347,0.5005775906912127,0.501868738202672,0.5031598857141313,0.4942389875140333,0.4853180893139353,0.4887729827705748,0.4922278762272143
Cyprus,0.37745804195804195,0.42148992813776665,0.4655218143174914,0.4564660062289071,0.4474101981403228,0.436756827382502,0.4261034566246812,0.4240017064820202,0.42189995633935923
Latvia,0.3542989445746822,0.3981235717725,0.4419481989703178,0.3702692996501731,0.29859040033002837,0.31818927279268927,0.3377881452553501,0.35572370994210334,0.3736592746288565
Lithuania,0.394103930238254,0.3903261460843453,0.38654836193043657,0.4438070519580709,0.5010657419857052,0.4991146209502366,0.497163499914768,0.5006262988130853,0.5040890977114025
Luxembourg,0.44180068403434725,0.379307558342061,0.31681443264977466,0.31668497149303376,0.31655551033629287,0.31979142373650843,0.323027337136724,0.36489778718062704,0.40676823722453004
Hungary,0.29961806932781276,0.2974058509923402,0.29519363265686754,0.2887720999883949,0.2823505673199223,0.38586353809450885,0.4893765088690954,0.4996893194263071,0.5100021299835189
Malta,0.36115341137342466,0.36528763788727503,0.36942186440112534,0.38106357531809565,0.39270528623506595,0.3881920930597497,0.3836788998844335,0.38113956874861615,0.3786002376127988
Austria,0.4901419711309147,0.4903610394027726,0.4905801076746305,0.49507709836906655,0.4995740890635026,0.5098852193117551,0.5201963495600077,0.508271926905675,0.4963475042513422
Poland,0.2167511234720864,0.23393764874644207,0.2511241740207978,0.25153051337681676,0.2519368527328358,0.3002352199588749,0.34853358718491406,0.3628661721571487,0.3771987571293834
Portugal,0.45101718751615744,0.4616679463544002,0.4723187051926431,0.48834898142900646,0.5043792576653698,0.5065655827120312,0.5087519077586926,0.50978038893175,0.5108088701048074
Romania,0.1916575622649088,0.19953084764516138,0.20740413302541397,0.21065197472415173,0.2138998164228895,0.2170674693395374,0.2202351222561853,0.2282230785101739,0.2362110347641625
Slovenia,0.2728538609518773,0.2919413506740989,0.3110288403963205,0.3111456131072793,0.3112623858182381,0.30594221067222455,0.300622035526211,0.30404349434317934,0.30746495316014766
Slovakia,0.31997771766314637,0.33409826252310837,0.3482188073830703,0.3811679473209242,0.41411708725877805,0.42340298770128293,0.43268888814378786,0.4553135927590737,0.4779382973743595
Finland,0.2940523951299422,0.3102810212417175,0.3265096473534928,0.3480646322609808,0.36961961716846875,0.40882086537544104,0.4480221135824134,0.3750051286060395,0.3019881436296657
Sweden,0.43262134126515417,0.440189687387903,0.44775803351065174,0.4464592179007135,0.44516040229077525,0.4475012354739226,0.44984206865706994,0.4303289502316555,0.41081583180624104
Norway,0.47504781743040775,0.4720696654348594,0.469091513439311,0.4628574989352492,0.4566234844311874,0.4690935284209227,0.48156357241065806,0.4468837866587627,0.4122040009068673
Türkiye,0.3278283975669389,0.34233413939564283,0.35683988122434684,0.3522785685569863,0.34771725588962576,0.34516301750543066,0.3426087791212355,0.32960601667039335,0.3166032542195512
